Ref,B0,R1,Hct,fwatere,so2,po2,P50,Refnumber,
Hueckel et al,1.5,0.7037,0,0,0.99988,706.87,25,8,
Hueckel et al,1.5,0.6838,0,0,0.99989,739.44,25,8,
D'Othee et al,1.5,0.533,0.31,0.248710602,0.97197,163.6183551,44,9,
D'Othee et al,1.5,0.577,0.31,0.248710602,0.994113,294.0737757,44,9,
D'Othee et al,1.5,0.605,0.31,0.248710602,0.997834,426.4618692,44,9,
D'Othee et al,1.5,0.647,0.31,0.248710602,0.99861,502.8024486,44,9,
D'Othee et al,1.5,0.699,0.31,0.248710602,0.999016,571.4123364,44,9,
D'Othee et al,1.5,0.742390497,0.31,0.248710602,0.999272,639.0558879,44,9,
D'Othee et al,1.5,0.718390805,0.31,0.248710602,0.999451,709.5984486,44,9,
D'Othee et al,8.45,0.464,0.31,0.248710602,0.977226,177.0526791,44,9,
D'Othee et al,8.45,0.483,0.31,0.248710602,0.99381,288.6263349,44,9,
D'Othee et al,8.45,0.516,0.31,0.248710602,0.998004,439.635507,44,9,
D'Othee et al,8.45,0.557,0.31,0.248710602,0.999011,570.446,44,9,
D'Othee et al,8.45,0.598,0.31,0.248710602,0.999452,709.9130698,44,9,
D'Othee et al,8.45,0.382,0,0,0.971956,163.586893,44,9,
D'Othee et al,8.45,0.398,0,0,0.992693,271.3131814,44,9,
D'Othee et al,8.45,0.404,0,0,0.997065,380.9631535,44,9,
D'Othee et al,8.45,0.416,0,0,0.998507,489.6512837,44,9,
D'Othee et al,8.45,0.429,0,0,0.999134,599.3012558,44,9,
D'Othee et al,8.45,0.448210923,0,0,0.99945,708.9512279,44,9,
Grgac et al,7,0.71,1,1.076923077,0.88,92.03111551,44,3,
Grgac et al,7,0.78,1,1.076923077,0.79,71.87314934,44,3,
Grgac et al,7,0.77,1,1.076923077,0.71,61.30205433,44,3,
Grgac et al,7,0.8,1,1.076923077,0.57,48.84143105,44,3,
Grgac et al,7,0.32,0,0,0.8,73.52547831,44,3,
Grgac et al,7,0.32,0,0,0.6,51.12951361,44,3,
Grgac et al,7,0.32,0,0,0.4,37.86462775,44,3,
Lu et al,3,0.581,0.38,0.318181818,0.97,159.4345659,44,10,
Lu et al,3,0.593,0.4,0.337349398,0.97,159.4345659,44,10,
Lu et al,3,0.599,0.42,0.356796117,0.97,159.4345659,44,10,
Lu et al,3,0.602,0.45,0.386503067,0.97,159.4345659,44,10,
Lu et al,3,0.633,0.46,0.396551724,0.97,159.4345659,44,10,
Lu et al,3,0.599,0.38,0.318181818,0.64,54.45025134,44,10,
Lu et al,3,0.617,0.4,0.337349398,0.64,54.45025134,44,10,
Lu et al,3,0.627,0.42,0.356796117,0.64,54.45025134,44,10,
Lu et al,3,0.667,0.46,0.396551724,0.64,54.45025134,44,10,
